location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
Heenvliet,51.8637036,4.2445237,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,50.0,1.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Heerde,52.3896323,6.0393181,6,33.333333333333336,0.3333333333333333,0.3333333333333333,200,16.666666666666668,0.16666666666666666,0.16666666666666666,100,16.666666666666668,0.3333333333333333,0.0,100,16.666666666666668,0.16666666666666666,0.16666666666666666,100,0.0,0.0,0.0,0,8.333333333333334,0.16666666666666666,0.0,50,entertainment,entertainment
Heerenveen,52.9568246,5.9270052,472,25.0,0.2521186440677966,0.2478813559322034,11800,10.169491525423728,0.1016949152542373,0.1016949152542373,4800,15.360169491525424,0.2330508474576271,0.07415254237288135,7250,26.694915254237287,0.2690677966101695,0.2648305084745763,12600,1.9067796610169492,0.03177966101694915,0.006355932203389831,900,9.110169491525424,0.1419491525423729,0.04025423728813559,4300,good_news,good_news
Heerhugowaard,52.6631484,4.8326672,53,0.0,0.0,0.0,0,45.283018867924525,0.4528301886792453,0.4528301886792453,2400,21.69811320754717,0.4339622641509434,0.0,1150,7.547169811320755,0.07547169811320754,0.07547169811320754,400,0.0,0.0,0.0,0,17.92452830188679,0.3584905660377358,0.0,950,bad_news,bad_news
Heerle,51.5187982,4.3620451,3,33.333333333333336,0.3333333333333333,0.3333333333333333,100,33.333333333333336,0.3333333333333333,0.3333333333333333,100,16.666666666666668,0.3333333333333333,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Heerlen,50.8876735,5.9773285,51,5.882352941176471,0.058823529411764705,0.058823529411764705,300,25.49019607843137,0.2549019607843137,0.2549019607843137,1300,16.666666666666668,0.29411764705882354,0.0392156862745098,850,1.9607843137254901,0.0196078431372549,0.0196078431372549,100,1.9607843137254901,0.0196078431372549,0.0196078431372549,100,12.745098039215685,0.2549019607843137,0.0,650,bad_news,bad_news
Heesbeen,51.7300657,5.1189188,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Heesch,51.73519,5.5266331,3,0.0,0.0,0.0,0,33.333333333333336,0.3333333333333333,0.3333333333333333,100,16.666666666666668,0.3333333333333333,0.0,50,33.333333333333336,0.3333333333333333,0.3333333333333333,100,0.0,0.0,0.0,0,16.666666666666668,0.3333333333333333,0.0,50,bad_news,bad_news
Heeswijk-Dinther,51.6493848,5.4739859,10,30.0,0.3,0.3,300,10.0,0.1,0.1,100,15.0,0.2,0.1,150,20.0,0.2,0.2,200,10.0,0.2,0.0,100,15.0,0.3,0.0,150,entertainment,entertainment
Heeten,52.3326307,6.2811501,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Heibloem,51.3011848,5.8952657,2,0.0,0.0,0.0,0,100.0,1.0,1.0,200,50.0,1.0,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Heiloo,52.6050033,4.7125066,11,9.090909090909092,0.09090909090909091,0.09090909090909091,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.090909090909092,0.09090909090909091,0.09090909090909091,100,4.545454545454546,0.09090909090909091,0.0,50,9.090909090909092,0.09090909090909091,0.09090909090909091,100,entertainment,entertainment
Heinkenszand,51.4723969,3.8168553,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Heino,52.4358643,6.2337772,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hellendoorn,52.3899376,6.4475132,9,33.333333333333336,0.3333333333333333,0.3333333333333333,300,0.0,0.0,0.0,0,27.77777777777778,0.3333333333333333,0.2222222222222222,250,44.44444444444444,0.4444444444444444,0.4444444444444444,400,5.555555555555555,0.1111111111111111,0.0,50,0.0,0.0,0.0,0,good_news,good_news
